Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
5795,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_20,Max,0.4986,0.5796,0.08100000000000002,22795,16001,6794,0.5796,137.0,131.0,0.48880597014925375,668355,8089,110255,16001,0.06406824230135598
5085,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_50,Min,0.5086,0.5528,0.044199999999999906,21874,18042,3832,0.5086,460.0,461.0,0.500542888165038,662758,13686,104382,21874,0.10839880876948423
5527,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_50,Max,0.5086,0.5528,0.044199999999999906,21874,18042,3832,0.5528,365.0,364.0,0.4993141289437586,666550,9894,108214,18042,0.07836459257381827
5206,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_100,Min,0.5207,0.5331,0.012399999999999967,20755,19638,1117,0.5207,921.0,925.0,0.5010834236186349,663955,12489,105501,20755,0.09891807122037764
5330,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_100,Max,0.5207,0.5331,0.012399999999999967,20755,19638,1117,0.5331,845.0,843.0,0.4994075829383886,665014,11430,106618,19638,0.0905303510328222
5226,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_200,Min,0.5227,0.5281,0.00539999999999996,20573,20078,495,0.5227,1813.0,1813.0,0.5,664140,12304,105683,20573,0.09745279432264606
5280,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_200,Max,0.5227,0.5281,0.00539999999999996,20573,20078,495,0.5281,1739.0,1736.0,0.499568345323741,664595,11849,106178,20078,0.09384900519579267
5300,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_500,Min,0.5301,0.53,-9.999999999998899e-05,19918,19928,-10,0.5301,4299.0,4300.0,0.5000581462960809,664765,11679,106338,19918,0.0925025345330123
5299,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_500,Max,0.5301,0.53,-9.999999999998899e-05,19918,19928,-10,0.53,4304.0,4299.0,0.499709403696385,664755,11689,106328,19928,0.09258173868964643
5376,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_1000,Min,0.5377,0.5376,-9.999999999998899e-05,19262,19272,-10,0.5377,8409.0,8413.0,0.5001188919272381,665408,11036,106994,19262,0.08740970726143708
5375,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_1000,Max,0.5377,0.5376,-9.999999999998899e-05,19262,19272,-10,0.5376,8423.0,8414.0,0.49973273148423114,665400,11044,106984,19272,0.08747307058674439
5485,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_2000,Min,0.5486,0.5485,-9.999999999998899e-05,18365,18372,-7,0.5486,16687.0,16697.0,0.5001497723460341,666247,10197,107891,18365,0.08076447851983272
5484,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_2000,Max,0.5486,0.5485,-9.999999999998899e-05,18365,18372,-7,0.5485,16704.0,16699.0,0.4999251564230758,666240,10204,107884,18372,0.08081992142947662
3061,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_1,Min,0.3113,0.8423,0.531,33046,2,33044,0.3113,29.0,32.0,0.5245901639344263,627405,49039,93210,33046,0.3884092637181599
7551,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_1,Max,0.3113,0.8423,0.531,33046,2,33044,0.8423,1.0,0.0,0.0,676444,0,126254,2,0.0
4454,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_10,Min,0.4506,0.7907,0.34009999999999996,13865,75,13790,0.4506,109.0,114.0,0.5112107623318386,662549,13895,112391,13865,0.11005417564313776
7468,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_10,Max,0.4506,0.7907,0.34009999999999996,13865,75,13790,0.7907,6.0,5.0,0.45454545454545453,676424,20,126181,75,0.0001584083132682803
4653,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_20,Min,0.4705,0.7336,0.26310000000000006,11965,345,11620,0.4705,200.0,206.0,0.5073891625615764,664994,11450,114291,11965,0.09068875934609048
7196,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_20,Max,0.4705,0.7336,0.26310000000000006,11965,345,11620,0.7336,15.0,15.0,0.5,676305,139,125911,345,0.0011009377772145481
5222,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_50,Min,0.5274,0.5832,0.05580000000000007,7337,4086,3251,0.5274,352.0,353.0,0.500709219858156,670392,6052,118919,7337,0.047934355594981624
5780,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_50,Max,0.5274,0.5832,0.05580000000000007,7337,4086,3251,0.5832,220.0,216.0,0.4954128440366973,673594,2850,122170,4086,0.022573184640729944
5313,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_100,Min,0.5365,0.571,0.034499999999999975,6686,4673,2013,0.5365,666.0,673.0,0.5026138909634055,671057,5387,119570,6686,0.0426672791788113
5658,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_100,Max,0.5365,0.571,0.034499999999999975,6686,4673,2013,0.571,501.0,501.0,0.5,673059,3385,121583,4673,0.026810607020656445
5297,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_200,Min,0.5349,0.5713,0.03639999999999999,6809,4663,2146,0.5349,1351.0,1360.0,0.5016599040944301,670950,5494,119447,6809,0.043514763654796604
5661,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_200,Max,0.5349,0.5713,0.03639999999999999,6809,4663,2146,0.5713,988.0,988.0,0.5,673080,3364,121593,4663,0.02664427829172475
5449,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_500,Min,0.5501,0.55,-9.999999999998899e-05,5837,5844,-7,0.5501,3035.0,3038.0,0.5002469948954388,671857,4587,120419,5837,0.03633094664808009
5448,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_500,Max,0.5501,0.55,-9.999999999998899e-05,5837,5844,-7,0.55,3041.0,3035.0,0.499506254114549,671854,4590,120412,5844,0.03635470789507033
5476,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_1000,Min,0.5528,0.5527,-9.999999999998899e-05,5674,5678,-4,0.5528,5929.0,5933.0,0.5001686056314281,672012,4432,120582,5674,0.03510328222025092
5475,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_1000,Max,0.5528,0.5527,-9.999999999998899e-05,5674,5678,-4,0.5527,5934.0,5930.0,0.49983142279163856,672005,4439,120578,5678,0.03515872512989482
5657,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_2000,Min,0.5709,0.5739,0.0030000000000000027,4677,4532,145,0.5709,10759.0,10765.0,0.5001393792975284,673054,3390,121579,4677,0.026850209098973513
5687,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium_Round_4,mProb_2000,Max,0.5709,0.5739,0.0030000000000000027,4677,4532,145,0.5739,10506.0,10505.0,0.49997620294131645,673193,3251,121724,4532,0.025749271321758967
10,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy_Round_4,mProb_1,Min,0.0249,0.5049,0.48000000000000004,126255,3,126252,0.0249,0.0,1.0,1.0,35,676409,1,126255,5.357440438474211
4385,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy_Round_4,mProb_1,Max,0.0249,0.5049,0.48000000000000004,126255,3,126252,0.5049,1.0,0.0,0.0,676444,0,126253,3,0.0
3770,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy_Round_4,mProb_10,Min,0.4013,0.5005,0.09919999999999995,1142,6,1136,0.4013,32.0,33.0,0.5076923076923077,674785,1659,125114,1142,0.013139969585603853
4382,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy_Round_4,mProb_10,Max,0.4013,0.5005,0.09919999999999995,1142,6,1136,0.5005,13.0,13.0,0.5,676441,3,126250,6,2.376124699024205e-05
3906,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy_Round_4,mProb_20,Min,0.4155,0.4904,0.07490000000000002,772,18,754,0.4155,73.0,74.0,0.5034013605442177,675391,1053,125484,772,0.008340197693574958
4373,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy_Round_4,mProb_20,Max,0.4155,0.4904,0.07490000000000002,772,18,754,0.4904,29.0,29.0,0.5,676429,15,126238,18,0.00011880623495121023
4320,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy_Round_4,mProb_50,Min,0.4708,0.4827,0.011900000000000022,73,35,38,0.4708,72.0,73.0,0.503448275862069,676355,89,126183,73,0.0007049169940438474
4362,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy_Round_4,mProb_50,Max,0.4708,0.4827,0.011900000000000022,73,35,38,0.4827,68.0,55.0,0.44715447154471544,676412,32,126221,35,0.0002534533012292485
