Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P,,,Model,Features,Roll,$p$,Neg,Pos,$m$Prob,TP,Recall,Model & Features & Roll & $p$ & Neg & Pos & $m$Prob & TP & Recall
1329,AdaBoost_Hard_Run_0_Round_5,mProb_10,Min,0.50006,0.50155,0.00149,0.50006,772,746,0.4914361,596641,8969,97742,10214,0.083080144,,,,,,,,,,,,
1478,AdaBoost_Hard_Run_0_Round_5,mProb_10,Max,0.50006,0.50155,0.00149,0.50155,233,238,0.505307856,603392,2218,104558,3398,0.020545407,,,,,,,,,,,,
1354,AdaBoost_Hard_Run_0_Round_5,mProb_20,Min,0.50031,0.50095,0.00064,0.50031,1256,1210,0.490673155,598389,7221,99424,8532,0.066888362,,,,,,,,,,,,
1368,AdaBoost_Hard_Run_0_Round_5,mProb_50,Min,0.50045,0.50092,0.00047,0.50045,2908,2818,0.492141111,599270,6340,100217,7739,0.05872763,,,,,,,,,,,,
1415,AdaBoost_Hard_Run_0_Round_5,mProb_50,Max,0.50045,0.50092,0.00047,0.50092,1988,2055,0.508285926,601540,4070,102442,5514,0.037700545,,,,,,,,,,,,
1375,AdaBoost_Hard_Run_0_Round_5,mProb_100,Min,0.50052,0.50091,0.00039,0.50052,5626,5419,0.490629244,599693,5917,100604,7352,0.054809367,,,,,,,,,,,,
1414,AdaBoost_Hard_Run_0_Round_5,mProb_100,Max,0.50052,0.50091,0.00039,0.50091,4072,4230,0.509515779,601503,4107,102386,5570,0.038043277,,,,,,,,,,,,
1394,AdaBoost_Hard_Run_0_Round_5,mProb_200,Min,0.50071,0.50113,0.00042,0.50071,10278,9875,0.490001489,600642,4968,101539,6417,0.046018748,,,,,,,,,,,,
1436,AdaBoost_Hard_Run_0_Round_5,mProb_200,Max,0.50071,0.50113,0.00042,0.50113,7304,7581,0.509304669,602291,3319,103273,4683,0.030744007,,,,,,,,,,,,
1499,AdaBoost_Hard_Run_0_Round_5,mProb_500,Min,0.50176,0.50215,0.00039,0.50176,17649,16976,0.490281588,603835,1775,105081,2875,0.016441884,,,,,,,,,,,,
1538,AdaBoost_Hard_Run_0_Round_5,mProb_500,Max,0.50176,0.50215,0.00039,0.50215,12803,13317,0.509839204,604436,1174,105850,2106,0.010874801,,,,,,,,,,,,
7,AdaBoost_Medium_Run_0_Round_5,mProb_1,Min,0.48915,0.50277,0.01362,0.48915,1,1,0.5,9,605601,1,107955,5.609702101,,,,,,,,,,,,
1319,AdaBoost_Medium_Run_0_Round_5,mProb_1,Max,0.48915,0.50277,0.01362,0.50277,1,1,0.5,605609,1,107951,5,9.26E-06,,,,,,,,,,,,
1071,AdaBoost_Medium_Run_0_Round_5,mProb_10,Min,0.50014,0.50256,0.00242,0.50014,534,527,0.496701225,601836,3774,103998,3958,0.034958687,,,,,,,,,,,,
1307,AdaBoost_Medium_Run_0_Round_5,mProb_10,Max,0.50014,0.50256,0.00242,0.50256,9,9,0.5,605602,8,107937,19,7.41E-05,,,,,,,,,,,,
1070,AdaBoost_Medium_Run_0_Round_5,mProb_20,Min,0.50013,0.50253,0.0024,0.50013,1099,1060,0.490968041,601782,3828,103959,3997,0.035458891,,,,,,,,,,,,
1306,AdaBoost_Medium_Run_0_Round_5,mProb_20,Max,0.50013,0.50253,0.0024,0.50253,19,19,0.5,605601,9,107937,19,8.34E-05,,,,,,,,,,,,
1082,AdaBoost_Medium_Run_0_Round_5,mProb_50,Min,0.50025,0.50087,0.00062,0.50025,2382,2293,0.490481283,602383,3227,104556,3400,0.029891808,,,,,,,,,,,,
1102,AdaBoost_Medium_Run_0_Round_5,mProb_100,Min,0.50045,0.50104,0.00059,0.50045,3983,3839,0.490795193,603207,2403,105369,2587,0.022259069,,,,,,,,,,,,
1161,AdaBoost_Medium_Run_0_Round_5,mProb_100,Max,0.50045,0.50104,0.00059,0.50104,1885,1956,0.509242385,604792,818,106955,1001,0.007577161,,,,,,,,,,,,
1126,AdaBoost_Medium_Run_0_Round_5,mProb_200,Min,0.50069,0.50123,0.00054,0.50069,6706,6462,0.490735115,603970,1640,106110,1846,0.015191374,,,,,,,,,,,,
1180,AdaBoost_Medium_Run_0_Round_5,mProb_200,Max,0.50069,0.50123,0.00054,0.50123,3342,3469,0.509323154,605087,523,107303,653,0.004844566,,,,,,,,,,,,
62,AdaBoost_Easy_Run_0_Round_6,mProb_1,Min,0.492063,0.499421,0.007358,0.492063,1,1,0.5,134,605476,2,107954,5.608544222,,,,,,,,,,,,
7149,AdaBoost_Easy_Run_0_Round_6,mProb_1,Max,0.492063,0.499421,0.007358,0.499421,3,3,0.5,605596,14,107941,15,0.000129682,,,,,,,,,,,,
7023,AdaBoost_Easy_Run_0_Round_6,mProb_10,Min,0.499165,0.499692,0.000527,0.499165,16,16,0.5,605259,351,107733,223,0.003251325,,,,,,,,,,,,
7153,AdaBoost_Easy_Run_0_Round_6,mProb_20,Min,0.499445,0.49951,6.50E-05,0.499445,20,20,0.5,605601,9,107947,9,8.34E-05,,,,,,,,,,,,
7159,AdaBoost_Easy_Run_0_Round_6,mProb_20,Max,0.499445,0.49951,6.50E-05,0.49951,16,16,0.5,605604,6,107950,6,5.56E-05,,,,,,,,,,,,
55,BalBag_Hard_Run_0_Round_4,mProb_1,Min,0.355,0.9667,0.6117,0.355,1,1,0.5,366194,239416,24371,83585,2.21771833,,,,,,,,,,,,
222,BalBag_Hard_Run_0_Round_4,mProb_1,Max,0.355,0.9667,0.6117,0.9667,21,21,0.5,602185,3425,101508,6448,0.031725888,,,,,,,,,,,,
203,BalBag_Hard_Run_0_Round_4,mProb_10,Min,0.8767,0.8767,0,0.8767,75,75,0.5,593474,12136,90975,16981,0.11241617,,,,,,,,,,,,
194,BalBag_Hard_Run_0_Round_4,mProb_20,Min,0.8389,0.85,0.0111,0.8389,181,186,0.506811989,593339,12271,90813,17143,0.113666679,,,,,,,,,,,,
196,BalBag_Hard_Run_0_Round_4,mProb_20,Max,0.8389,0.85,0.0111,0.85,193,194,0.50129199,593414,12196,90906,17050,0.112971952,,,,,,,,,,,,
205,BalBag_Hard_Run_0_Round_4,mProb_50,Min,0.8833,0.8833,0,0.8833,28652,29782,0.509669028,593489,12121,90984,16972,0.112277224,,,,,,,,,,,,
205,BalBag_Hard_Run_0_Round_4,mProb_50,Max,0.8833,0.8833,0,0.8833,28652,29782,0.509669028,593489,12121,90984,16972,0.112277224,,,,,,,,,,,,
15,BalBag_Medium_Run_0_Round_4,mProb_1,Min,0.0476,0.9625,0.9149,0.0476,1,1,0.5,56102,549508,2751,105205,5.090110786,,,,,,,,,,,,
1872,BalBag_Medium_Run_0_Round_4,mProb_1,Max,0.0476,0.9625,0.9149,0.9625,1,1,0.5,600885,4725,103093,4863,0.043767831,,,,,,,,,,,,
1881,BalBag_Medium_Run_0_Round_4,mProb_20,Min,0.9727,0.9727,0,0.9727,4727,4864,0.507142112,601133,4477,103288,4668,0.041470599,,,,,,,,,,,,
20,BalBag_Easy_Run_0_Round_4,mProb_1,Min,0.0078,0.9865,0.9787,0.0078,1,1,0.5,28211,577399,1864,106092,5.348466042,,,,,,,,,,,,
9132,BalBag_Easy_Run_0_Round_4,mProb_1,Max,0.0078,0.9865,0.9787,0.9865,1,1,0.5,604683,927,107088,868,0.008586832,,,,,,,,,,,,
8731,BalBag_Easy_Run_0_Round_4,mProb_10,Min,0.9146,0.9886,0.074,0.9146,52,52,0.5,601321,4289,104888,3068,0.039729149,,,,,,,,,,,,
9137,BalBag_Easy_Run_0_Round_4,mProb_10,Max,0.9146,0.9886,0.074,0.9886,55,53,0.490740741,604704,906,107109,847,0.008392308,,,,,,,,,,,,
9001,BalBag_Easy_Run_0_Round_4,mProb_20,Max,0.9528,0.9532,0.0004,0.9532,68,66,0.492537313,603616,1994,106289,1667,0.018470488,,,,,,,,,,,,
340,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_1,Min,0.2058,0.9733,0.7675,0.2058,1,1,0.5,113397,492213,2196,105760,4.559385305,,,,,,,,,,,,
