Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P,Run_0,diff(min),diff(TP),diff(FP/P),diff(FP),,,,,Model,p,Neg,Pos,FP,TP,FP/P,
139217,142679,KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,0.45087382,0.45087382,16,6,0.272727273,600219,5391,104789,3167,0.370063099,0.029336026,0.049937011,1,0.00229484,89,6.48412E-05,7,,,,,KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,0.45087,16,6,"5,391","3,167",0.0499,"KBFC_alpha_0_5_gamma_2_0_Easy_Run_0 & 0.45087 & 16 & 6 & 5,391 & 3,167 & 0.0499\cr"
139335,142701,KBFC_alpha_0_5_gamma_2_0_Easy_Run_1,0.44857898,0.44857898,4,0,0,600212,5398,104878,3078,0.363142992,0.028511616,0.050001853,0,,,,,,,,,KBFC_alpha_0_5_gamma_2_0_Easy_Run_1,0.44858,4,0,"5,398","3,078",0.05,"KBFC_alpha_0_5_gamma_2_0_Easy_Run_1 & 0.44858 & 4 & 0 & 5,398 & 3,078 & 0.05\cr"
665892,681736,KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,0.54286426,0.54286426,0,1,1,600212,5398,97305,10651,0.663655056,0.098660565,0.050001853,1,0.00873046,218,0,0,,,,,KBFC_alpha_0_5_gamma_2_0_Hard_Run_0,0.54286,0,1,"5,398","10,651",0.05,"KBFC_alpha_0_5_gamma_2_0_Hard_Run_0 & 0.54286 & 0 & 1 & 5,398 & 10,651 & 0.05\cr"
665556,681141,KBFC_alpha_0_5_gamma_2_0_Hard_Run_1,0.5341338,0.5341338,1,0,0,600212,5398,97523,10433,0.659023435,0.096641224,0.050001853,0,,,,,,,,,KBFC_alpha_0_5_gamma_2_0_Hard_Run_1,0.53413,1,0,"5,398","10,433",0.05,"KBFC_alpha_0_5_gamma_2_0_Hard_Run_1 & 0.53413 & 1 & 0 & 5,398 & 10,433 & 0.05\cr"
611863,623001,KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,0.5103964,0.5103964,1,0,0,600212,5398,101849,6107,0.53081269,0.056569343,0.050001853,1,0.001389,67,0,0,,,,,KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,0.5104,1,0,"5,398","6,107",0.05,"KBFC_alpha_0_5_gamma_2_0_Medium_Run_0 & 0.5104 & 1 & 0 & 5,398 & 6,107 & 0.05\cr"
612088,623139,KBFC_alpha_0_5_gamma_2_0_Medium_Run_1,0.5090074,0.5090074,1,0,0,600212,5398,101916,6040,0.528064347,0.05594872,0.050001853,0,,,,,,,,,KBFC_alpha_0_5_gamma_2_0_Medium_Run_1,0.50901,1,0,"5,398","6,040",0.05,"KBFC_alpha_0_5_gamma_2_0_Medium_Run_1 & 0.50901 & 1 & 0 & 5,398 & 6,040 & 0.05\cr"
140536,143914,KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,0.76009965,0.76009965,0,1,1,600214,5396,104891,3065,0.362250325,0.028391196,0.049983327,1,0.00355945,56,1.85261E-05,2,,,,,KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,0.7601,0,1,"5,396","3,065",0.05,"KBFC_alpha_balanced_gamma_0_0_Easy_Run_0 & 0.7601 & 0 & 1 & 5,396 & 3,065 & 0.05\cr"
140562,143955,KBFC_alpha_balanced_gamma_0_0_Easy_Run_1,0.7565402,0.7565402,1,0,0,600212,5398,104947,3009,0.357916022,0.027872467,0.050001853,0,,,,,,,,,KBFC_alpha_balanced_gamma_0_0_Easy_Run_1,0.75654,1,0,"5,398","3,009",0.05,"KBFC_alpha_balanced_gamma_0_0_Easy_Run_1 & 0.75654 & 1 & 0 & 5,398 & 3,009 & 0.05\cr"
679447,695135,KBFC_alpha_balanced_gamma_0_0_Hard_Run_0,0.9063645,0.9063645,0,1,1,600212,5398,97465,10491,0.66026811,0.09717848,0.050001853,1,0.0053685,13,0,0,,,,,KBFC_alpha_balanced_gamma_0_0_Hard_Run_0,0.90636,0,1,"5,398","10,491",0.05,"KBFC_alpha_balanced_gamma_0_0_Hard_Run_0 & 0.90636 & 0 & 1 & 5,398 & 10,491 & 0.05\cr"
679481,695153,KBFC_alpha_balanced_gamma_0_0_Hard_Run_1,0.900996,0.900996,1,0,0,600212,5398,97478,10478,0.659989922,0.097058061,0.050001853,0,,,,,,,,,KBFC_alpha_balanced_gamma_0_0_Hard_Run_1,0.901,1,0,"5,398","10,478",0.05,"KBFC_alpha_balanced_gamma_0_0_Hard_Run_1 & 0.901 & 1 & 0 & 5,398 & 10,478 & 0.05\cr"
629261,640436,KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,0.8572825,0.8572825,1,0,0,600212,5398,101829,6127,0.531626898,0.056754604,0.050001853,1,0.00569234,156,0,0,,,,,KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,0.85728,1,0,"5,398","6,127",0.05,"KBFC_alpha_balanced_gamma_0_0_Medium_Run_0 & 0.85728 & 1 & 0 & 5,398 & 6,127 & 0.05\cr"
628832,639864,KBFC_alpha_balanced_gamma_0_0_Medium_Run_1,0.85159016,0.85159016,0,1,1,600212,5398,101985,5971,0.525200106,0.055309571,0.050001853,0,,,,,,,,,KBFC_alpha_balanced_gamma_0_0_Medium_Run_1,0.85159,0,1,"5,398","5,971",0.05,"KBFC_alpha_balanced_gamma_0_0_Medium_Run_1 & 0.85159 & 0 & 1 & 5,398 & 5,971 & 0.05\cr"
142282,144949,LogReg_alpha_0_5_Easy_Run_0,0.353967749,0.353967749,9,0,0,600215,5395,105202,2754,0.337955577,0.025510393,0.049974064,1,5.75142E-05,13,3.70521E-05,4,,,,,LogReg_alpha_0_5_Easy_Run_0,0.35397,9,0,"5,395","2,754",0.05,"LogReg_alpha_0_5_Easy_Run_0 & 0.35397 & 9 & 0 & 5,395 & 2,754 & 0.05\cr"
142369,145049,LogReg_alpha_0_5_Easy_Run_1,0.354025263,0.354025263,2,1,0.333333333,600211,5399,105215,2741,0.336732187,0.025389974,0.050011116,0,,,,,,,,,LogReg_alpha_0_5_Easy_Run_1,0.35403,2,1,"5,399","2,741",0.05,"LogReg_alpha_0_5_Easy_Run_1 & 0.35403 & 2 & 1 & 5,399 & 2,741 & 0.05\cr"
694421,706940,LogReg_alpha_0_5_Hard_Run_0,0.548735576,0.548735576,1,0,0,600212,5398,100764,7192,0.571247021,0.066619734,0.050001853,1,0.001043042,49,0,0,,,,,LogReg_alpha_0_5_Hard_Run_0,0.54874,1,0,"5,398","7,192",0.05,"LogReg_alpha_0_5_Hard_Run_0 & 0.54874 & 1 & 0 & 5,398 & 7,192 & 0.05\cr"
694285,706841,LogReg_alpha_0_5_Hard_Run_1,0.547692533,0.547692533,1,0,0,600212,5398,100715,7241,0.572909249,0.067073623,0.050001853,0,,,,,,,,,LogReg_alpha_0_5_Hard_Run_1,0.54769,1,0,"5,398","7,241",0.05,"LogReg_alpha_0_5_Hard_Run_1 & 0.54769 & 1 & 0 & 5,398 & 7,241 & 0.05\cr"
644141,654707,LogReg_alpha_0_5_Medium_Run_0,0.485269333,0.485269333,2,0,0,600213,5397,102500,5456,0.502718142,0.050539109,0.04999259,1,8.67033E-05,2,9.26303E-06,1,,,,,LogReg_alpha_0_5_Medium_Run_0,0.48527,2,0,"5,397","5,456",0.05,"LogReg_alpha_0_5_Medium_Run_0 & 0.48527 & 2 & 0 & 5,397 & 5,456 & 0.05\cr"
644024,654624,LogReg_alpha_0_5_Medium_Run_1,0.48518263,0.48518263,1,0,0,600212,5398,102498,5458,0.502763449,0.050557635,0.050001853,0,,,,,,,,,LogReg_alpha_0_5_Medium_Run_1,0.48518,1,0,"5,398","5,458",0.05,"LogReg_alpha_0_5_Medium_Run_1 & 0.48518 & 1 & 0 & 5,398 & 5,458 & 0.05\cr"
142344,144949,LogReg_alpha_balanced_Easy_Run_0,0.759715116,0.759715116,2,0,0,600213,5397,105218,2738,0.336570375,0.025362185,0.04999259,1,0.000255964,0,7.41043E-05,8,,,,,LogReg_alpha_balanced_Easy_Run_0,0.75972,2,0,"5,397","2,738",0.05,"LogReg_alpha_balanced_Easy_Run_0 & 0.75972 & 2 & 0 & 5,397 & 2,738 & 0.05\cr"
142591,145207,LogReg_alpha_balanced_Easy_Run_1,0.75997108,0.75997108,19,9,0.321428571,600221,5389,105218,2738,0.336901686,0.025362185,0.049918485,0,,,,,,,,,LogReg_alpha_balanced_Easy_Run_1,0.75997,19,9,"5,389","2,738",0.0499,"LogReg_alpha_balanced_Easy_Run_1 & 0.75997 & 19 & 9 & 5,389 & 2,738 & 0.0499\cr"
