p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.36,RFC_5_Fold_Tomek_1_Hard_Test_Transformed_100,3501,955,0.2143177737881508,535292,70318,72183,35773,0.33719165621966046,0.331366482641076,0.6513579606506354,0.1486772071539283
0.18,RFC_5_Fold_Tomek_0_Hard_Test,20712,5264,0.20264859870649832,535991,69619,72468,35488,0.3376368843178856,0.32872651821112303,0.644883100522435,0.14729821768413853
0.36,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_100,3478,1068,0.23493180818301804,536165,69445,72532,35424,0.337792865384432,0.32813368409351956,0.6432713327652007,0.14696468161319345
0.65,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test,5000,1915,0.2769342010122921,548541,57069,58389,49567,0.4648242619753179,0.4591407610507985,0.52863203527363,0.1494409767281513
0.65,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_100,5000,1915,0.2769342010122921,548541,57069,58389,49567,0.4648242619753179,0.4591407610507985,0.52863203527363,0.1494409767281513
0.19,RFC_5_Fold_Tomek_1_Hard_Test,17765,4903,0.21629610022939827,538232,67378,73284,34672,0.33975502204801566,0.32116788321167883,0.6241246433732262,0.14301410100817583
0.35,RFC_5_Fold_Tomek_1_Hard_Test_Transformed_100,3547,999,0.21975362956445227,533761,71849,71811,36145,0.3346945200659296,0.33481233094964613,0.6655396643076809,0.1513440943094262
0.66,BRFC_5_Fold_alpha_0_5_Tomek_1_Hard_Test,4735,1847,0.2806137951990276,549867,55743,58881,49075,0.4681924860233929,0.4545833487717218,0.5163492533995332,0.14689320959799093
0.66,BRFC_5_Fold_alpha_0_5_Tomek_1_Hard_Test_Transformed_100,4735,1847,0.2806137951990276,549867,55743,58881,49075,0.4681924860233929,0.4545833487717218,0.5163492533995332,0.14689320959799093
0.6,BalBag_5_Fold_Tomek_0_Hard_Test,42869,13992,0.24607375881535676,547916,57694,64286,43670,0.4308235665522276,0.4045166549334914,0.5344214309533514,0.14205273233309884
0.6,BalBag_5_Fold_Tomek_0_Hard_Test_Transformed_100,42869,13992,0.24607375881535676,547916,57694,64286,43670,0.4308235665522276,0.4045166549334914,0.5344214309533514,0.14205273233309884
0.6,BalBag_5_Fold_Tomek_1_Hard_Test,42784,13682,0.24230510395636312,544996,60614,62249,45707,0.42989625755965427,0.4233854533328393,0.5614694875690096,0.14899953192837104
0.6,BalBag_5_Fold_Tomek_1_Hard_Test_Transformed_100,42784,13682,0.24230510395636312,544996,60614,62249,45707,0.42989625755965427,0.4233854533328393,0.5614694875690096,0.14899953192837104
0.6,BalBag_5_Fold_Tomek_0_Hard_Test,42625,13974,0.24689482146327674,547664,57946,64287,43669,0.4297495448506618,0.40450739190040386,0.536755715291415,0.14240448676086023
0.6,BalBag_5_Fold_Tomek_0_Hard_Test_Transformed_100,42625,13974,0.24689482146327674,547664,57946,64287,43669,0.4297495448506618,0.40450739190040386,0.536755715291415,0.14240448676086023
0.66,BRFC_5_Fold_alpha_0_5_Tomek_1_Hard_Test,4736,1951,0.2917601315986242,549565,56045,58733,49223,0.46759699053843523,0.45595427766867985,0.5191466893919745,0.14752384502624843
0.66,BRFC_5_Fold_alpha_0_5_Tomek_1_Hard_Test_Transformed_100,4736,1951,0.2917601315986242,549565,56045,58733,49223,0.46759699053843523,0.45595427766867985,0.5191466893919745,0.14752384502624843
0.6,BalBag_5_Fold_Tomek_1_Hard_Test,42822,13553,0.24040798226164078,544676,60934,62415,45541,0.42771542615637476,0.4218477898403053,0.564433658157027,0.14921534938604136
0.6,BalBag_5_Fold_Tomek_1_Hard_Test_Transformed_100,42822,13553,0.24040798226164078,544676,60934,62415,45541,0.42771542615637476,0.4218477898403053,0.564433658157027,0.14921534938604136
