Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P,Hard,Medium,Easy,Features
2794,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_500,Min,0.8323,0.8575,0.0252,0.8323,0.657104806,597454,8156,90808,17148,0.075549298,1,0,0,3
2801,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_50,Max,0.8153,0.8343,0.019,0.8343,0.676972903,597472,8138,90829,17127,0.075382563,1,0,0,3
2803,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_100,Max,0.8158,0.8355,0.0197,0.8355,0.67694141,597499,8111,90880,17076,0.075132461,1,0,0,3
2808,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_200,Max,0.8186,0.8367,0.0181,0.8367,0.676731893,597509,8101,90905,17051,0.075039831,1,0,0,3
2879,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_500,Max,0.8323,0.8575,0.0252,0.8575,0.6769809,599592,6018,94119,13837,0.055744933,1,0,0,3
3302,BRFC_alpha_0_5_Hard_Run_1,Prec_50,Min,0.815833333,0.834833333,0.019,0.815833333,0.657018647,594896,10714,87597,20359,0.099244137,1,0,0,3
3311,BRFC_alpha_0_5_Hard_Run_1,Prec_20,Min,0.818333333,0.8325,0.014166667,0.818333333,0.657187727,594919,10691,87625,20331,0.099031087,1,0,0,3
3310,BRFC_alpha_0_5_Hard_Run_1,Prec_100,Min,0.818333333,0.835619048,0.017285714,0.818333333,0.657161814,594918,10692,87625,20331,0.09904035,1,0,0,3
3314,BRFC_alpha_0_5_Hard_Run_1,Prec_10,Min,0.819166667,0.8325,0.013333333,0.819166667,0.657230856,594923,10687,87627,20329,0.098994035,1,0,0,3
3317,BRFC_alpha_0_5_Hard_Run_1,Prec_1,Min,0.82,0.833,0.013,0.82,0.665342602,596174,9436,89196,18760,0.08740598,1,0,0,3
3317,BRFC_alpha_0_5_Hard_Run_1,Prec_200,Min,0.82,0.836404762,0.016404762,0.82,0.657225284,596174,9436,89196,18760,0.08740598,1,0,0,3
3354,BRFC_alpha_0_5_Hard_Run_1,Prec_500,Min,0.827333333,0.846666667,0.019333333,0.827333333,0.657023346,596264,9346,89320,18636,0.086572307,1,0,0,3
3384,BRFC_alpha_0_5_Hard_Run_1,Prec_10,Max,0.819166667,0.8325,0.013333333,0.8325,0.676985801,597434,8176,90819,17137,0.075734559,1,0,0,3
3384,BRFC_alpha_0_5_Hard_Run_1,Prec_20,Max,0.818333333,0.8325,0.014166667,0.8325,0.676989822,597434,8176,90819,17137,0.075734559,1,0,0,3
3386,BRFC_alpha_0_5_Hard_Run_1,Prec_1,Max,0.82,0.833,0.013,0.833,0.676978389,597434,8176,90821,17135,0.075734559,1,0,0,3
3393,BRFC_alpha_0_5_Hard_Run_1,Prec_50,Max,0.815833333,0.834833333,0.019,0.834833333,0.676829509,597450,8160,90837,17119,0.07558635,1,0,0,3
3396,BRFC_alpha_0_5_Hard_Run_1,Prec_100,Max,0.818333333,0.835619048,0.017285714,0.835619048,0.67698812,597477,8133,90877,17079,0.075336248,1,0,0,3
3401,BRFC_alpha_0_5_Hard_Run_1,Prec_200,Max,0.82,0.836404762,0.016404762,0.836404762,0.676969994,597484,8126,90881,17075,0.075271407,1,0,0,3
3449,BRFC_alpha_0_5_Hard_Run_1,Prec_500,Max,0.827333333,0.846666667,0.019333333,0.846666667,0.676835017,598607,7003,92488,15468,0.064869021,1,0,0,3
2739,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_50,Min,0.8161,0.8348,0.0187,0.8161,0.65723776,594900,10710,87603,20353,0.099207084,1,0,0,3
2743,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_20,Min,0.818,0.8323,0.0143,0.818,0.657148574,594913,10697,87624,20332,0.099086665,1,0,0,3
2745,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_100,Min,0.8187,0.8357,0.017,0.8187,0.657041847,594920,10690,87625,20331,0.099021824,1,0,0,3
2746,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_10,Min,0.819,0.8325,0.0135,0.819,0.657215835,594921,10689,87626,20330,0.099012561,1,0,0,3
2749,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_1,Min,0.82,0.833,0.013,0.82,0.665342602,596174,9436,89196,18760,0.08740598,1,0,0,3
2754,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_200,Min,0.8213,0.8365,0.0152,0.8213,0.657261034,596180,9430,89198,18758,0.087350402,1,0,0,3
2802,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_20,Max,0.818,0.8323,0.0143,0.8323,0.676968456,597433,8177,90817,17139,0.075743822,1,0,0,3
2803,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_10,Max,0.819,0.8325,0.0135,0.8325,0.676986046,597434,8176,90819,17137,0.075734559,1,0,0,3
2805,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_1,Max,0.82,0.833,0.013,0.833,0.676978389,597434,8176,90821,17135,0.075734559,1,0,0,3
2808,BRFC_alpha_0_5_Hard_Run_1_Round_4,Prec_500,Min,0.8338,0.8568,0.023,0.8338,0.657055414,597448,8162,90835,17121,0.075604876,1,0,0,3
